	USD
528	30.8421
529	30.8438
530	30.8281
531	30.8206
532	30.8206
533	30.8949
534	30.884
535	30.858
536	30.8409
537	30.8949
538	30.9274
539	30.9404
540	30.9436
541	30.9949
542	30.9909
543	30.9946
544	30.9946
545	31.0632
546	31.0545
547	31.0758
548	31.0237
549	31.071
550	31.1119
551	31.1248
552	31.1325
553	31.1276
554	31.1168
555	31.151
556	31.1353
557	31.1147
558	31.0686
559	31.1192
560	31.1741
561	31.1733
562	31.1933
563	31.184
564	31.182
565	31.1893
566	31.1644
567	31.1679
568	31.1982
569	31.1734
570	31.1522
571	31.1498
572	31.1517
573	31.1649
574	31.1711
575	31.1516
576	31.1498
577	31.1579
578	31.1783
579	31.1977
580	31.1977
581	31.1963
582	31.1951
583	31.1967
584	31.1951
585	31.2119
586	31.2471
587	31.2453
588	31.2468
589	31.2554
590	31.2553
591	31.2553
592	31.2551
593	31.255
594	31.2652
595	31.275
596	31.285
597	31.285
598	31.3043
599	31.3071
600	31.3071
601	31.3058
602	31.3136
603	31.3272
604	31.3521
605	31.3924
606	31.397
607	31.4046
608	31.3928
609	31.3958
610	31.3965
611	31.3903
612	31.4115
613	31.4337
614	31.437
615	31.4531
616	31.4725
617	31.4758
618	31.4608
619	31.439
620	31.4471
621	31.5002
622	31.5124
623	31.5128
624	31.5128
625	31.5156
626	31.53
627	31.5533
628	31.5476
629	31.5437
630	31.5555
631	31.4948
632	31.4779
633	31.5395
634	31.5394
635	31.5332
636	31.5056
637	31.5015
638	31.5035
639	31.5333
640	31.5069
641	31.4701
642	31.4401
643	31.4568
644	31.5238
645	31.5502
646	31.5409
647	31.5324
648	31.5542
649	31.5581
650	31.5828
651	31.5612
652	31.5321
653	31.5405
654	31.5608
655	31.5668
656	31.555
657	31.565
658	31.5735
659	31.5711
660	31.5725
661	31.5803
662	31.5542
663	31.5752
664	31.5744
665	31.5673
666	31.5673
667	31.6053
668	31.6117
669	31.6113
670	31.6123
671	31.6268
672	31.6302
673	31.6409
674	31.6493
675	31.6415
676	31.6297
677	31.6244
678	31.6251
679	31.6425
680	31.6379
681	31.6325
682	31.6354
683	31.6382
684	31.635
685	31.6358
686	31.6827
687	31.6919
688	31.6982
689	31.6809
690	31.68
691	31.6795
692	31.6799
693	31.6803
694	31.6685
695	31.6703
696	31.6703
697	31.6762
698	31.6767
699	31.6761
700	31.6727
701	31.6973
702	31.7272
703	31.7159
704	31.7109
705	31.7314
706	31.7411
707	31.6977
708	31.7408
709	31.7701
710	31.7646
711	31.7744
712	31.7909
713	31.7756
714	31.7756
